Dataset,ValidFromVersion,ValidToVersion,IEA.country.name,Product,Flow,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Industry; Construction,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Industry; Manufacturing; Iron and steel,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Industry; Manufacturing; Chemical and petrochemical,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Industry; Manufacturing; Non-ferrous metals,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Industry; Manufacturing; Non-metallic minerals,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Industry; Manufacturing; Transport equipment,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Industry; Manufacturing; Machinery,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Industry; Manufacturing; Food and tobacco,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,"Total energy supply; Total final consumption; Industry; Manufacturing; Paper, pulp and printing",1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Industry; Manufacturing; Wood and wood products,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Industry; Manufacturing; Textile and leather,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Industry; Industry not elsewhere specified,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
CL-PFU,v3.0b1,current,World,Additives/blending components,Total energy supply; Total final consumption; Transport; World aviation bunkers,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06
