"IEA.country.name","Flow","Product","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Argentina","Total energy supply; Energy industry own use; Coal mines","Lubricants",0.999,0.999,0.999,0.999,0.999,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Total energy supply; Energy industry own use; Coal mines","Other bituminous coal",0.36172170339474,0.34714811981084,0.34039225650534,0.33375136498245,0.31550172487413,0.30036944729454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Total energy supply; Energy industry own use; Coal mines","Paraffin waxes",0.999,0.999,0.999,0.999,0.999,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Total energy supply; Energy industry own use; Coal mines","Kerosene type jet fuel excl. biofuels",NA,NA,0.8037156576598,0.8014140894113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Total energy supply; Energy industry own use; Coal mines","White spirit & SBP",NA,NA,NA,NA,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Total energy supply; Energy industry own use; Coal mines","Electricity",0.920963615657007,0.920580869778699,0.920191032316046,0.91979922298791,0.91942258647971,0.919040862077087,0.91886478638789,0.91868101161365,0.918486931894081,0.918293425146414,0.918100926636994,0.917903117958605,0.9177057685234,0.917524622291119,0.917327315012006,0.917137012873919,0.916866402363827,0.916583710899467,0.916295154662519,0.916014405938859,0.915743892974603,0.915562292410458,0.915291629845176,0.915020967279894,0.914750304714612,0.914479642149329
"Australia","Total energy supply; Energy industry own use; Coal mines","Fuel oil",0.80783280564218,0.80574672286714,0.8037156576598,0.8014140894113,0.79904833400049,NA,NA,NA,0.80714967084332,0.80664534313947,0.80614101543561,0.80543037185291,0.80470138908097,0.80349558738903,0.8021797505617,0.80086391373437,0.79712171825472,0.79593844879322,0.79475988173872,0.79357748496792,0.79239131115087,0.79141589490821,0.79028208042106,0.78914936057274,0.78801879033461,0.78689115912191
"Australia","Total energy supply; Energy industry own use; Coal mines","Gas/diesel oil excl. biofuels",0.80783280564218,0.80574672286714,0.8037156576598,0.8014140894113,0.79904833400049,0.79668716338699,0.79839270798548,0.80765399854717,0.80714967084332,0.80664534313947,0.80614101543561,0.80543037185291,0.80470138908097,0.80349558738903,0.8021797505617,0.80086391373437,0.79712171825472,0.79593844879322,0.79475988173872,0.79357748496792,0.79239131115087,0.79141589490821,0.79028208042106,0.78914936057274,0.78801879033461,0.78689115912191
"Australia","Total energy supply; Energy industry own use; Coal mines","Natural gas",0.25296985058176,NA,NA,NA,NA,NA,NA,NA,0.1788194002556,0.16955059396482,0.16028178767406,0.15101298138329,0.14174417509252,0.13247536880174,0.11723545566116,0.1182055009104,0.11917554615964,0.11474395335055,0.11389971087084,0.10611526385641,0.1045975757565,0.10406626243906,0.09431480804504,0.09236253603092,0.09658557276398,0.09206476323041
"Australia","Total energy supply; Energy industry own use; Coal mines","BKB",NA,NA,NA,NA,NA,NA,NA,NA,0.29696868894149,0.2958351028238,0.29470151670612,0.29356793058843,0.29243434447075,0.29130075835306,0.29016717223538,0.28903358611769,0.28790000000001,0.28697333333334,0.28604666666668,0.28512000000001,NA,NA,NA,NA,NA,NA
"Australia","Total energy supply; Energy industry own use; Coal mines","Liquefied petroleum gases (LPG)",NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
"Australia","Total energy supply; Energy industry own use; Coal mines","Other oil products",NA,NA,NA,NA,NA,NA,NA,NA,0.37758528162896,0.37623312923077,0.37488097683258,0.37330382443439,0.3717066720362,0.36958951963801,0.36735236723982,0.36511521484163,0.36431306244344,0.36351091004525,0.36270875764706,0.36190660524887,0.36110445285068,0.36030230045249,0.3595001480543,0.35869799565611,0.35789584325792,0.35709369085973
"Australia","Total energy supply; Energy industry own use; Coal mines","Crude oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16617473447964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Total energy supply; Energy industry own use; Coal mines","Other kerosene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999506559297218,0.999506559297218,0.999506559297218,0.999506559297218,0.999506559297218,0.999506559297218,0.999506559297218,0.999506559297218,0.999506559297218,0.999506559297218,0.999506559297218
"Australia","Total energy supply; Energy industry own use; Coal mines","Motor gasoline excl. biofuels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79712171825472,0.79593844879322,0.79475988173872,0.79357748496792,0.79239131115087,0.79141589490821,0.79028208042106,0.78914936057274,0.78801879033461,0.78689115912191
"Austria","Total energy supply; Energy industry own use; Coal mines","Electricity",0.920963615657007,0.920580869778699,0.920191032316046,0.91979922298791,0.91942258647971,0.919040862077087,0.91886478638789,0.91868101161365,0.918486931894081,0.918293425146414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Total energy supply; Energy industry own use; Coal mines","Electricity",0.920963615657007,0.920580869778699,0.920191032316046,0.91979922298791,0.91942258647971,0.919040862077087,0.91886478638789,0.91868101161365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Total energy supply; Energy industry own use; Coal mines","Liquefied petroleum gases (LPG)",NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","Electricity",0.920963615657007,0.920580869778699,0.920191032316046,0.91979922298791,0.91942258647971,0.919040862077087,0.91886478638789,0.91868101161365,0.918486931894081,0.918293425146414,0.918100926636994,0.917903117958605,0.9177057685234,0.917524622291119,0.917327315012006,0.917137012873919,0.916866402363827,0.916583710899467,0.916295154662519,0.916014405938859,0.915743892974603,0.915562292410458,0.915291629845176,0.915020967279894,0.914750304714612,0.914479642149329
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","Heat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","BKB",0.36172170339474,0.34714811981084,0.34039225650534,0.33375136498245,0.31550172487413,0.30036944729454,0.29923586117686,0.29810227505917,0.29696868894149,0.2958351028238,0.29470151670612,0.29356793058843,0.29243434447075,0.29130075835306,0.29016717223538,0.28903358611769,0.28790000000001,0.28697333333334,0.28604666666668,0.28512000000001,0.28419333333334,0.28326666666668,0.28234000000001,0.28141333333334,0.28048666666668,NA
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","Gas/diesel oil excl. biofuels",0.80783280564218,0.80574672286714,NA,NA,0.79904833400049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79028208042106,0.78914936057274,0.78801879033461,0.78689115912191
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","Lignite",0.36172170339474,0.34714811981084,0.34039225650534,0.33375136498245,0.31550172487413,0.30036944729454,0.29923586117686,0.29810227505917,0.29696868894149,0.2958351028238,0.29470151670612,0.29356793058843,0.29243434447075,0.29130075835306,0.29016717223538,0.28903358611769,0.28790000000001,0.28697333333334,NA,0.28512000000001,0.28419333333334,0.28326666666668,0.28234000000001,0.28141333333334,0.28048666666668,0.27956000000001
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","Sub-bituminous coal",0.36172170339474,0.34714811981084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","Primary solid biofuels",NA,0.34313809875358,NA,NA,NA,NA,0.24610715770707,NA,0.24151572616566,0.23922001039495,0.23692429462424,0.23462857885354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","Other bituminous coal",NA,NA,0.34039225650534,0.33375136498245,0.31550172487413,0.30036944729454,0.29923586117686,0.29810227505917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","Industrial waste",NA,NA,NA,0.33375136498245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","Natural gas",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16955059396482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09431480804504,0.09236253603092,0.09658557276398,0.09206476323041
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","Anthracite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29356793058843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","Total energy supply; Energy industry own use; Coal mines","Liquefied petroleum gases (LPG)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.55,NA,NA,NA,NA,NA,NA,NA,0.55,0.55,0.55,0.55
